uri	title	url	n	class for black list	alternate image	weight (if not black list or 1)	comment
http://en.wikipedia.org/wiki/Mental_health	Mental health		191		https://snappygoat.com/o/c073208ecd1f1e5a4b8c9712a2152ef82c154263/tree-carved-face-person-symbol-251480.jpg		
http://en.wikipedia.org/wiki/Intensive_care_medicine	Intensive care medicine	https://commons.wikimedia.org/wiki/Special:FilePath/VIP_Bird2.jpg	187		https://snappygoat.com/o/893fc113baf52f7b305f5e8acd6402f105592969/intensive_care_T.png		
http://en.wikipedia.org/wiki/Prospective_cohort_study	Prospective cohort study		186	study type			
http://en.wikipedia.org/wiki/Medical_guideline	Medical guideline		184	study type			
http://en.wikipedia.org/wiki/Physician	Physician	https://commons.wikimedia.org/wiki/Special:FilePath/The_Doctor_Luke_Fildes_crop.jpg	181		https://snappygoat.com/o/e46bddddd7c0b7453080920044e2f520ac5e913a/doctor-patient-hospital-child-899037.jpg		
http://en.wikipedia.org/wiki/Gene	Gene	https://commons.wikimedia.org/wiki/Special:FilePath/Gregor_Mendel.png	181		https://snappygoat.com/o/f79128f8e41de8bb40596623b90570ad68e08ea6/A-B-Z-DNA%20Side%20View.png		
http://en.wikipedia.org/wiki/Preventive_healthcare	Preventive healthcare		179		https://snappygoat.com/o/d3514adb73ca30e0994da454802cf8ea5dc2e49b/dentist-dental-hygiene-healthcare-676421.jpg		
http://en.wikipedia.org/wiki/Neoplasm	Neoplasm	https://snappygoat.com/o/df2587f13a80fffe4106f1e1103132f26882839b/405518-FIBRILLARY_OR_DIFFUSE_ASTROCYTIC_NEOPLASM.jpg	178		https://snappygoat.com/o/df2587f13a80fffe4106f1e1103132f26882839b/405518-FIBRILLARY_OR_DIFFUSE_ASTROCYTIC_NEOPLASM.jpg		
http://en.wikipedia.org/wiki/Genus	Genus		178		https://snappygoat.com/b/1170c04cfb1520a4f011353416e15df6d7368b1b		
http://en.wikipedia.org/wiki/Abiogenesis	Abiogenesis	https://commons.wikimedia.org/wiki/Special:FilePath/Stromatolites.jpg	177				
http://en.wikipedia.org/wiki/Ageing	Ageing	https://commons.wikimedia.org/wiki/Special:FilePath/Senescence.JPG	176		https://snappygoat.com/o/6143c0cc3c13f3f59fa94735cc77ad2b37e3d402/old-man-man-face-senior-older-1208210.jpg		
http://en.wikipedia.org/wiki/Woman	Woman		174		https://snappygoat.com/o/7d4e71d715d256fd4b5b36b74b0bf9ad8e65a03c/restroom-bathroom-sign-ladies-304985.svg		
http://en.wikipedia.org/wiki/Infant	Infant	https://commons.wikimedia.org/wiki/Special:FilePath/Being_a_twin_means_you_always_have_a_pillow_or_blanket_handy.jpg	174		https://snappygoat.com/o/cac6c712668daf8c7dfd2117aa259b1faf6d0360/baby-newborn-infant-peaceful-feet-1314843.jpg		
http://en.wikipedia.org/wiki/Efficacy	Efficacy		173				
http://en.wikipedia.org/wiki/Pregnancy	Pregnancy	https://commons.wikimedia.org/wiki/Special:FilePath/PregnantWoman.jpg	171		https://snappygoat.com/o/7db3e45908283b226518c025efb2d0ae7397f2fe/woman-baby-mother-pregnant-lady-1284353.jpg		
http://en.wikipedia.org/wiki/Perception	Perception	https://commons.wikimedia.org/wiki/Special:FilePath/Multistability.svg	171		https://snappygoat.com/o/dc559c13470ac6cd2aa10920ab9f70ee82d9ba0d/Impossible%20staircase.svg		
http://en.wikipedia.org/wiki/Symptom	Symptom		171				
http://en.wikipedia.org/wiki/Evidence	Evidence	https://commons.wikimedia.org/wiki/Special:FilePath/Dublin_Castle_Gates_of_Fortitude_and_Justice_05.JPG	167	study type			
http://en.wikipedia.org/wiki/Mouse	Mouse	https://commons.wikimedia.org/wiki/Special:FilePath/Мышь_2.jpg	167				
http://en.wikipedia.org/wiki/Antibiotics	Antibiotics	https://commons.wikimedia.org/wiki/Special:FilePath/Staphylococcus_aureus_(AB_Test).jpg	167				
http://en.wikipedia.org/wiki/Ecology	Ecology	https://en.wikipedia.org/wiki/Special:FilePath/The_Earth_seen_from_Apollo_17.jpg	164				
http://en.wikipedia.org/wiki/Climate_change	Climate change		164		https://snappygoat.com/o/e8208cfd7d6e3da540b61f0941900062b833209e/greenland-iceberg-mer-de-glace-891458.jpg		
http://en.wikipedia.org/wiki/Gut_flora	Gut flora	https://commons.wikimedia.org/wiki/Special:FilePath/EscherichiaColi_NIAID.jpg	163				
http://en.wikipedia.org/wiki/Bird	Bird	https://commons.wikimedia.org/wiki/Special:FilePath/Bird_Diversity_2013.png	162		https://snappygoat.com/o/a52c83b75428b62d43dde4b0c6284c209e6b9be5/robin-bird-nature-539789.jpg	1.5	
http://en.wikipedia.org/wiki/Sensitivity_and_specificity	Sensitivity and specificity		162	study type			
http://en.wikipedia.org/wiki/Hospital	Hospital	https://commons.wikimedia.org/wiki/Special:FilePath/AIIMS_central_lawn.jpg	162				
http://en.wikipedia.org/wiki/Adaptation	Adaptation		162		https://en.wikipedia.org/wiki/File:Darwin%27s_finches_by_Gould.jpg		
http://en.wikipedia.org/wiki/Cognition	Cognition		160				
http://en.wikipedia.org/wiki/Life	Life	https://commons.wikimedia.org/wiki/Special:FilePath/Ruwenpflanzen.jpg	159		https://snappygoat.com/o/a06350606123c5890d0075d878410f41379108e1/Purple%20crokus%20crokus%20vern.jpg		
http://en.wikipedia.org/wiki/Nursing	Nursing	https://commons.wikimedia.org/wiki/Special:FilePath/Nursing_baby.jpg	158		https://snappygoat.com/o/b9f85d740a717a100a90d07424cea4d9a48ba86c/Sue_Martens.jpg		
http://en.wikipedia.org/wiki/Evaluation	Evaluation		155	study type			
http://en.wikipedia.org/wiki/Antimicrobial_resistance	Antimicrobial resistance	https://commons.wikimedia.org/wiki/Special:FilePath/Antibiotic_sensitvity_and_resistance.JPG	155				
http://en.wikipedia.org/wiki/Dinosaur	Dinosaur	https://commons.wikimedia.org/wiki/Special:FilePath/Dinosauria_montage_2.jpg	153		https://en.wikipedia.org/wiki/File:Macronaria_scrubbed_enh.jpg		
http://en.wikipedia.org/wiki/Microorganism	Microorganism	https://en.wikipedia.org/wiki/Special:FilePath/E_coli_at_10000x,_original.jpg	152				
http://en.wikipedia.org/wiki/Social_influence	Social influence		152				
http://en.wikipedia.org/wiki/Genomics	Genomics		151		https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Mapping_Reads.png/1024px-Mapping_Reads.png		
http://en.wikipedia.org/wiki/Gastrointestinal_tract	Gastrointestinal tract	https://commons.wikimedia.org/wiki/Special:FilePath/Protovsdeuterostomes.svg	150				
http://en.wikipedia.org/wiki/Prevalence	Prevalence		149	study type			
http://en.wikipedia.org/wiki/Hypertension	Hypertension	https://commons.wikimedia.org/wiki/Special:FilePath/Grade_1_hypertension.jpg	148		https://snappygoat.com/o/82d5074de3f64b3fa4a14afcdac8bcab74d34032/US_Navy_100606-N-4044H-159_Lt._Cmdr._Hung_Tran_checks_the_blood_pressure_of_a_Vietnamese_patient_during_a_Pacific_Partnership_2010_medical_civic_action_program.jpg		
http://en.wikipedia.org/wiki/Circulatory_system	Circulatory system	https://en.wikipedia.org/wiki/Special:FilePath/Circulatory_System_en.svg	148				
http://en.wikipedia.org/wiki/Natural_selection	Natural selection	https://commons.wikimedia.org/wiki/Special:FilePath/Biston_betularia_male.jpg	147		https://en.wikipedia.org/wiki/File:Darwin%27s_finches_by_Gould.jpg		
http://en.wikipedia.org/wiki/Depression_%28mood%29	Depression (mood)	https://commons.wikimedia.org/wiki/Special:FilePath/Melencolia_I_(Durero).jpg	146		https://snappygoat.com/o/78fce73dbbb99af2b1eb49eaac4d4a08b0af9fa0/depression-man-marital-status-mood-20195.jpg		
http://en.wikipedia.org/wiki/Public_health	Public health	https://commons.wikimedia.org/wiki/Special:FilePath/Salk_headlines.jpg	146				
http://en.wikipedia.org/wiki/Redox	Redox	https://commons.wikimedia.org/wiki/Special:FilePath/Redox_Halves_text.svg	144				
http://en.wikipedia.org/wiki/Gene_expression	Gene expression	https://commons.wikimedia.org/wiki/Special:FilePath/Genetic_code.svg	143				
http://en.wikipedia.org/wiki/Dementia	Dementia	https://commons.wikimedia.org/wiki/Special:FilePath/Alzheimer's_disease_brain_comparison.jpg	143				
http://en.wikipedia.org/wiki/Medical_research	Medical research	https://commons.wikimedia.org/wiki/Special:FilePath/Monoclonal_antibodies4.jpg	142	study type			
http://en.wikipedia.org/wiki/Morphology_%28biology%29	Morphology (biology)	https://commons.wikimedia.org/wiki/Special:FilePath/Caprella_mutica_male_morphology.jpg	142				
http://en.wikipedia.org/wiki/Earth	Earth	https://commons.wikimedia.org/wiki/Special:FilePath/Earth_symbol.svg	141		https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/The_Earth_seen_from_Apollo_17.jpg/220px-The_Earth_seen_from_Apollo_17.jpg		
http://en.wikipedia.org/wiki/Natural_environment	Natural environment	https://en.wikipedia.org/wiki/Special:FilePath/Hopetoun_falls.jpg	141				
http://en.wikipedia.org/wiki/Cardiovascular_disease	Cardiovascular disease	https://commons.wikimedia.org/wiki/Special:FilePath/Cardiac_amyloidosis_very_high_mag_movat.jpg	141				
http://en.wikipedia.org/wiki/Decision-making	Decision-making	https://commons.wikimedia.org/wiki/Special:FilePath/Wikipedia_article-creation-2.svg	140	study type			
http://en.wikipedia.org/wiki/Acute_%28medicine%29	Acute (medicine)		139				
http://en.wikipedia.org/wiki/Model_organism	Model organism	https://en.wikipedia.org/wiki/Special:FilePath/E_coli_at_10000x,_original.jpg	138	study type			
http://en.wikipedia.org/wiki/Virus	Virus	https://commons.wikimedia.org/wiki/Special:FilePath/Rotavirus_Reconstruction.jpg	138				
http://en.wikipedia.org/wiki/Anatomical_terms_of_location	Anatomical terms of location	https://commons.wikimedia.org/wiki/Special:FilePath/1303_Human_Neuroaxis.jpg	137				
http://en.wikipedia.org/wiki/Pain	Pain	https://commons.wikimedia.org/wiki/Special:FilePath/OuchFlintGoodrichShot1941.jpg	136		https://snappygoat.com/o/915876fa4db3be4504e9371e3000babae3edfcdf/child-girl-crying-little-face-652552.jpg		
http://en.wikipedia.org/wiki/Stress_%28biology%29	Stress (biology)		136				
http://en.wikipedia.org/wiki/Autism_spectrum	Autism spectrum	https://commons.wikimedia.org/wiki/Special:FilePath/Autism_Awareness_Ribbon.png	133				
http://en.wikipedia.org/wiki/Cross-sectional_study	Cross-sectional study		132	study type			
http://en.wikipedia.org/wiki/Longitudinal_study	Longitudinal study		132	study type			
http://en.wikipedia.org/wiki/Mental_disorder	Mental disorder	https://commons.wikimedia.org/wiki/Special:FilePath/Gautier_-_Salpetriere.JPG	131		https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Mental_Disorder_Silhouette.png/250px-Mental_Disorder_Silhouette.png		
http://en.wikipedia.org/wiki/Taxonomy_%28biology%29	Taxonomy (biology)		131		https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Darwin%27s_finches_by_Gould.jpg/180px-Darwin%27s_finches_by_Gould.jpg		
http://en.wikipedia.org/wiki/Drug	Drug	https://commons.wikimedia.org/wiki/Special:FilePath/A_small_cup_of_coffee.JPG	129		https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Nexium_%28esomeprazole_magnesium%29_pills.JPG/220px-Nexium_%28esomeprazole_magnesium%29_pills.JPG		
http://en.wikipedia.org/wiki/Prediction	Prediction	https://commons.wikimedia.org/wiki/Special:FilePath/Old_Farmer's_Almanac_1793_cover.jpg	129	study type			
http://en.wikipedia.org/wiki/Mitochondrial_DNA	Mitochondrial DNA	https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_human_mitochondrial_genome.svg	129				
http://en.wikipedia.org/wiki/Molecule	Molecule	https://commons.wikimedia.org/wiki/Special:FilePath/PTCDA_AFM.jpg	128				
http://en.wikipedia.org/wiki/Stroke	Stroke	https://commons.wikimedia.org/wiki/Special:FilePath/MCA_Territory_Infarct.svg	128				
http://en.wikipedia.org/wiki/Diabetes_mellitus_type_2	Diabetes mellitus type 2	https://commons.wikimedia.org/wiki/Special:FilePath/Blue_circle_for_diabetes.svg	128		https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Type_2_Diabetes_Mellitus.jpg/220px-Type_2_Diabetes_Mellitus.jpg		
http://en.wikipedia.org/wiki/DNA	DNA	https://commons.wikimedia.org/wiki/Special:FilePath/DNA_Structure+Key+Labelled.pn_NoBB.png	126				
http://en.wikipedia.org/wiki/Pharmaceutical_drug	Pharmaceutical drug	https://commons.wikimedia.org/wiki/Special:FilePath/12-08-18-tilidin-retard.jpg	126				
http://en.wikipedia.org/wiki/Heart_failure	Heart failure	https://commons.wikimedia.org/wiki/Special:FilePath/Heartfailure.jpg	125		https://snappygoat.com/o/29e92459abc8f20ebaa4fffd7921b8f67513db9e/electrocardiogram-beat-cardiology-16948.jpg		
http://en.wikipedia.org/wiki/Microbiota	Microbiota	https://commons.wikimedia.org/wiki/Special:FilePath/Skin_Microbiome20169-300.jpg	125				
http://en.wikipedia.org/wiki/Cell_signaling	Cell signaling	https://commons.wikimedia.org/wiki/Special:FilePath/USDAbacteria.jpg	124				
http://en.wikipedia.org/wiki/Muscle	Muscle	https://commons.wikimedia.org/wiki/Special:FilePath/Skeletal_muscle.jpg	124		https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Bougle_whole2_retouched.png/250px-Bougle_whole2_retouched.png		
http://en.wikipedia.org/wiki/Enzyme_inhibitor	Enzyme inhibitor	https://commons.wikimedia.org/wiki/Special:FilePath/HIV_protease_with_bound_ritonavir.png	123				
http://en.wikipedia.org/wiki/Mammal	Mammal	https://commons.wikimedia.org/wiki/Special:FilePath/Mammal_Diversity_2011.png	122		https://snappygoat.com/b/54f828de4ecccb1a9537bb28d3e89dea5668be4e		
http://en.wikipedia.org/wiki/Survey_methodology	Survey methodology		122		https://snappygoat.com/b/4f3e5d8b133f36f671d242f2d0325cd39bf4e1e4		
http://en.wikipedia.org/wiki/Colorectal_cancer	Colorectal cancer	https://commons.wikimedia.org/wiki/Special:FilePath/Stomach_colon_rectum_diagram.svg	120				
http://en.wikipedia.org/wiki/Phylogenetics	Phylogenetics		120		https://snappygoat.com/o/ba85d41dad09a53b7ab4337b9322941f09842de1/Darwin_tree_cut.png		
http://en.wikipedia.org/wiki/Observational_study	Observational study		119	study type			
http://en.wikipedia.org/wiki/Host_%28biology%29	Host (biology)	https://commons.wikimedia.org/wiki/Special:FilePath/Roof_rat-(rattus_rattus).jpg	119				
http://en.wikipedia.org/wiki/Interpersonal_relationship	Interpersonal relationship		119		https://snappygoat.com/b/2118bd3a924328bcfe763af0971f4520c55baad8		
http://en.wikipedia.org/wiki/Anatomy	Anatomy	https://commons.wikimedia.org/wiki/Special:FilePath/Vesalius-copy.jpg	117				
http://en.wikipedia.org/wiki/Functional_magnetic_resonance_imaging	Functional magnetic resonance imaging	https://commons.wikimedia.org/wiki/Special:FilePath/Researcher-test.jpg	116				
http://en.wikipedia.org/wiki/Management	Management		115	study type			
http://en.wikipedia.org/wiki/Skill	Skill	https://commons.wikimedia.org/wiki/Special:FilePath/KokcharovSkillHierarchy2015.jpg	114				
http://en.wikipedia.org/wiki/China	China	https://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg	114				
http://en.wikipedia.org/wiki/Biology	Biology	https://commons.wikimedia.org/wiki/Special:FilePath/EscherichiaColi_NIAID.jpg	114				
http://en.wikipedia.org/wiki/Pediatrics	Pediatrics	https://commons.wikimedia.org/wiki/Special:FilePath/Newborn_Examination_1967.jpg	113				
